Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"14-10-2025 11:11";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_110222.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 11:11";1;ADMIN;UPDATE_LOG_SCHEDULE;"Admin memperbarui jadwal log: arsip setelah 2 bulan, hapus setelah 6 bulan, backup otomatis nonaktif";"activity_log_schedule #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 11:11";1;ADMIN;VIEW_PENGUKURAN;"Melihat output pengukuran kinerja Triwulan 1 Tahun Anggaran 2026";"pengukuran_kinerja #5";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 11:11";1;ADMIN;EXPORT_USERS_PDF;"Mengunduh daftar pengguna dalam format PDF (5 data, dikelompokkan per bidang).";"users #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 11:11";1;ADMIN;UPDATE_LOG_SCHEDULE;"Admin memperbarui jadwal log: arsip setelah 2 bulan, hapus setelah 6 bulan, backup otomatis aktif";"activity_log_schedule #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
