Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"04-09-2025 19:36";Algies_4444;STAFF;VIEW_DOKUMEN_UNIT;"Melihat dokumen unit kerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-09-2025 19:36";Gilang_444;ATASAN;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-09-2025 19:36";Gilang_444;ATASAN;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja (mode atasan)";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-09-2025 19:36";Gilang_444;ATASAN;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja (mode atasan)";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-09-2025 19:36";Gilang_444;ATASAN;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja (mode atasan)";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
