Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"14-09-2025 14:17";Administrator;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (10 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-09-2025 14:17";Administrator;;LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-09-2025 14:17";Administrator;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-09-2025 14:17";Administrator;;LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-09-2025 14:17";Administrator;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
