Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"03-09-2025 20:02";Algies_4444;STAFF;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;OPEN_PENGUKURAN_FORM;"Membuka form pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"indikator_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;OPEN_PENGUKURAN_FORM;"Membuka form pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"indikator_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
